P,D,I,T,C
13.56,6.68,11.1,3.54,7.91
12.96,6.34,11.05,3.8,7.48
12.44,4.73,10.96,4.12,7.37
11.96,4.57,11.2,3.58,6.47
13.34,6.21,11.55,3.76,7.72
12.47,5.19,11.13,3.53,7.04
13.15,5.95,11.48,3.57,7.33
11.57,4.12,11.09,3.62,6.31
12.03,5.48,11.25,3.53,7.81
13.4,5.7,11.24,3.58,7.81
12.05,5.97,11.36,3.48,5.24
12.05,6.01,11.24,3.74,6.31
13.73,3.77,11.06,3.94,9.37
14.63,6.03,11.66,3.69,8.96
14.77,9.63,11.22,3.69,8.11
13.11,5.9,11.14,3.88,7.69
12.28,5.2,11.06,3.49,6.95
12.42,5.85,11.11,4.11,6.87
9.45,2.11,10.74,3.56,8.05
8.87,4.27,11.41,3.55,5.66
13.47,6.43,11.56,3.6,8.37
13.12,5.96,11.1,3.39,8.58
12.69,5,11.16,3.67,7.53
13.23,5.42,11.31,3.64,8.01
12.85,3.48,11.08,3.74,7.26
12.81,3.98,11.38,3.39,7.77
13.62,5.93,11.15,4.22,8.3
12.84,6.04,11.22,3.62,7.01
12.6,5.13,11.02,4.09,7.12
12.34,4.82,11.23,3.54,7.53
13.49,6.86,11.33,3.95,10.29
12.98,5.75,12.05,3.74,7.43
12.67,4.9,11.03,3.91,7.52
12.96,6.19,10.96,3.6,7.37
12.7,4.95,11.02,3.52,7.28
13.68,6.56,11.21,3.51,8.28
12.91,5.23,11.27,3.93,7.15
12.33,5.37,10.9,3.58,6.69
12.97,5.34,11.18,4.19,7.05
15.33,5.22,11.3,4.08,9.85
12.89,4.52,10.92,3.74,7.43
10.52,3.24,10.99,4.15,8.42
12.76,2.86,11.17,3.68,6.93
10.96,4.73,10.79,4.15,5.26
12.05,4.02,11.23,3.63,6.75
12.49,4.58,11,4.04,7.65
13.95,6.71,11.28,3.92,8.25
12.58,4.03,11.08,3.98,6.95
12.85,6.5,11.44,3.68,7.42
11.97,2.89,11.13,3.57,6.78
14.8,6.31,11.07,4.24,8.82
14.3,6.65,11.71,3.56,8.79
13.67,6.98,11.56,3.68,8.03
12.06,4.29,11.41,4.01,7
13.73,7.31,10.99,3.5,8.66
12.23,4.55,11.2,3.43,6.93
12.93,4.87,10.92,4.08,8.3
13.38,6.27,11.68,3.68,7.52
11.85,4.92,11.01,3.71,6.14
13.53,6.1,11.18,3.48,7.92
12.98,3.94,11.42,3.93,7.43
12.33,4.72,10.95,3.68,6.69
13.87,6.72,11.74,3.68,8.31
13.19,6.11,11.03,4.04,7.68
13.67,6.53,11.58,3.75,7.94
9.42,0.84,11.08,3.71,7.15
13.59,6.59,11.33,3.78,8.14
12.22,5.91,10.91,4.02,6.86
12.22,5.91,10.91,3.47,6.64
12.08,4.9,11.02,3.93,6.54
11.81,4.27,11.57,3.66,8.32
14.14,7.55,11.83,3.73,7.69
12.37,6.12,11.12,3.98,6.42
13.26,6.25,11.35,3.59,7.84
12.12,6.95,11.06,3.88,6.19
13.49,6.56,11.7,3.89,8.07
12.36,7.45,11.02,3.58,6.27
12.67,5.79,11.32,3.6,8.09
12.77,5.09,11.07,4.17,7.01
14.06,6.34,11.44,3.49,8.67
13.39,5.97,11.32,3.69,7.61
13.6,6.07,11.04,3.91,8.13
12.01,4.57,11.41,3.38,6.79
13.06,5.47,11.18,3.45,7.63
14.96,7.35,11.6,4.03,8.93
14.19,6.42,11.19,4.18,8.76
12.82,6.77,10.84,4.11,6.61
12.17,4.75,11.27,3.37,7.22
14.23,5.68,11.24,4.23,8.64
13.15,6.99,11.34,3.6,7.66
12.09,4.73,11.06,3.64,7.96
14.26,8.44,10.96,3.71,8.52
11.8,4.63,10.96,3.92,6
13.74,5.36,11.42,3.66,7.95
13.87,3.78,11.07,4.04,8.38
13.78,7.21,11.1,4.19,8.04
12.06,4.61,10.91,3.94,6.44
12.94,4.71,11.6,3.78,7.61
13.12,5.81,11.28,3.6,7.8
11.48,7.03,10.95,3.89,5.93
11.65,3.92,10.78,3.84,7.69
13.76,6.65,11.49,3.78,8.04
13.1,6.32,11.72,3.78,7.36
13.4,6.43,11.19,3.58,8.06
12.04,3.3,10.99,3.7,8.15
12.9,5.31,10.97,3.96,7.41
14.64,9.05,11.32,3.68,8.18
12.19,5.44,11.19,3.51,5.7
13.19,7.24,11.27,3.38,7.7
11.89,4.09,11.26,3.84,6.45
12.95,5.36,11,3.99,7.67
13.1,8.11,11.47,3.69,6.39
9.12,2.89,11.05,3.83,7.31
14.72,4.86,11.34,4.05,9.18
11.49,6.81,10.85,3.82,5.47
11.86,4.87,11.07,3.51,7.23
12.01,4.48,11.17,3.6,6.99
12.74,6.62,11.57,3.61,7.32
12.8,5.36,11.27,3.89,7.03
14.28,6.45,11.34,3.99,8.38
12.15,4.52,10.94,3.47,6.82
10.7,3.8,10.93,4.11,5.07
12.93,5.63,11.51,3.77,8.19
12.51,5.44,11.03,3.57,6.39
13.81,6.64,11.27,3.79,8.47
12.79,5.4,11.1,4.2,7.12
13.99,6.42,11.41,3.61,8.48
14.6,3.74,11.26,4.01,9.33
15,5.71,11.48,3.98,9.2
13.6,8.88,11.83,3.96,6.81
13.59,5.38,11.32,3.99,8.09
13.5,6.49,11.92,3.94,7.46
11.16,3.65,11.06,4.17,6.7
13,4.15,11.43,3.7,7.64
14.45,6.36,11.94,3.91,7.14
14.45,6.36,11.94,3.92,8.56
10.79,2.7,10.86,3.93,6.74
13.04,5.71,11.25,4.2,7.29
11.98,5.7,11.23,3.47,6.34
12.07,4.99,11.2,3.59,7.18
11.77,4.53,10.9,3.93,5.78
13.17,5.31,11.09,3.8,7.78
13.08,6.38,11.28,4.18,7.31
12.09,4.84,11.06,3.75,6.81
13.73,6.16,11,3.94,8.53
13.64,5.03,11.55,3.66,7.57
13.09,4.79,11.51,3.92,7.3
13.22,4.77,11.16,3.63,7.64
13.22,4.96,11.22,3.97,7.59
12.83,5.53,11.05,3.6,7.32
13.55,8.57,11.38,3.62,7.87
14.24,6.47,11.72,3.58,8.45
13.19,6.23,11.13,3.59,7.62
11.88,4.5,11.16,4.16,5.63
11.5,4.16,11.19,4,6.71
14.58,6.85,11.28,4.02,9
11.89,4.1,11.03,4,6.31
11.56,3.54,11.05,4.13,5.71
12.61,5.06,11.4,3.78,8.01
12.15,4.97,10.93,3.65,6.64
14.1,6.22,11.44,4.08,8.43
6.63,-1.17,11.16,3.49,4.3
13.08,3.63,11.07,3.78,7.45
13.43,6.12,11.09,3.9,8.08
12.37,4.2,11.03,4,6.74
13.25,7.68,11.46,3.67,7.86
13.46,4.84,11.42,3.57,8.05
12.1,5.7,10.98,3.81,6.9
13.63,5.18,11.53,3.88,7.91
13.03,6.59,11.38,3.88,6.98
13.27,5.27,11.05,4.16,8
13.97,6.26,11.48,3.91,8.17
11.95,4.87,11.2,3.77,6.62
13.3,5.77,11.51,3.71,7.72
13.12,3.39,11.31,3.65,7.82
12.81,5.32,11.34,3.51,7.47
14.38,7.03,10.95,4.07,9.08
8.47,0.75,10.97,4.18,6.7
12.5,5.17,11.32,3.53,7.05
12.77,3.46,11.4,3.59,7.96
13.81,6.8,11.65,3.62,8.07
12.35,3.73,11.26,3.59,6.92
11.78,4.38,10.98,3.97,6.42
13.46,5.77,11.55,3.61,9.1
13.42,5.35,11.54,4.07,7.43
12.55,5.37,11.03,3.4,7.38
12.05,5.03,11.16,3.54,6.48
11.57,3.85,11.13,3.54,6.31
13.67,5.4,11.39,3.51,8.35
12.02,6.07,10.96,3.75,7.13
12.46,3.14,11.08,3.63,6.93
12.04,3.19,11.19,3.52,6.91
12.31,4.41,11.35,3.98,6.96
13.04,5.27,11.28,3.67,8.15
12.25,2.66,10.94,4.12,6.51
